sub_id,name,type,bus1,bus2,W1,W2,latitude,longitude,gic
76964352,T396,GY-D,6273,6274,0.05,0.1,41.4588062633058,-93.68048801686037,{'i_k': -53.21871651470808}
75610550,T397,GY-D,6217,6218,0.05,0.1,28.619366234166986,-81.28472384134443,{'i_k': -0.11063099168741274}
43879037,T398,GY-D,4987,4988,0.05,0.1,41.39829379078971,-87.95259927908818,{'i_k': 9.69611789191766}
185225320,T399,GY-D,3545,3546,0.05,0.1,33.95887392361924,-81.05014794234853,{'i_k': -9.083593291771624}
43092005,T400,GY-D,4969,4970,0.05,0.1,42.31375315315611,-87.97554804774987,{'i_k': -136.99969062873782}
163891145,T401,GY-D,1859,1860,0.05,0.1,32.67127590050888,-84.94930750026387,{'i_k': -35.57203771043613}
385588492,T402,GY-D,4817,4818,0.05,0.1,35.805697706062496,-76.87969427610017,{'i_k': -15.0828325164694}
76167122,T403,GY-D,6253,6254,0.05,0.1,28.62299043018571,-81.45468197661339,{'i_k': -0.26220837972845557}
82457699,T404,GY-D,6509,6510,0.05,0.1,38.266057013935736,-78.81280536270623,{'i_k': -0.06772377472694283}
183036506,T405,GY-D,3341,3342,0.05,0.1,29.636909388906897,-82.67864420018914,{'i_k': -5.293267373106432}
674358942,T406,GY-D,5981,5982,0.05,0.1,37.709696942728655,-78.28859436331389,{'i_k': -28.69740717874196}
186823764,T407,GY-D,3737,3738,0.05,0.1,29.62387888630476,-90.69346655543872,{'i_k': 0.016583683579594503}
173547666,T408,GY-D,2751,2752,0.05,0.1,38.49524730590178,-90.5089692333075,{'i_k': -163.29350401827057}
59135337,T409,GY-D,5701,5702,0.05,0.1,42.327379820955166,-83.19631657135871,{'i_k': -2.8461550617573907}
80434221,T410,GY-GY,6336,6335,0.04,0.06,34.8791660339458,-78.78205187289413,"{'i_w1': 27.201144243882496, 'i_w2': -35.75830240047152}"
121520203,T411,GY-D,789,790,0.05,0.1,34.95275855964842,-82.15549619044621,{'i_k': -19.75528780207327}
163992428,T412,GY-D,1875,1876,0.05,0.1,37.8678351322404,-99.75340255550266,{'i_k': -1.3858955970800233}
172096005,T413,GY-D,2613,2614,0.05,0.1,30.908495021386063,-84.00505527766434,{'i_k': -5.044209808631202}
42677847,T414,GY-D,4953,4954,0.05,0.1,40.11368680057707,-74.1920851527163,{'i_k': -146.3553643455099}
38327515,T415,GY-D,4787,4788,0.05,0.1,34.634429417292324,-92.41061038298643,{'i_k': -23.71389915073871}
184867936,T416,GY-D,3489,3490,0.05,0.1,33.00417700482006,-79.85512836350615,{'i_k': -12.87483213472003}
