sub_id,name,type,bus1,bus2,W1,W2,latitude,longitude,gic
104285127,T2013,GY-D,219,220,0.05,0.1,40.08609864869129,-109.29030760927536,{'i_k': -1.0735888383364938}
165926152,T2014,GY-D,2039,2040,0.05,0.1,39.177388291917495,-111.02944302716898,{'i_k': 16.443811040283915}
105200979,T2015,GY-D,319,320,0.05,0.1,37.868493522343385,-109.3159654831455,{'i_k': 5.409280570500939}
88146572,T2016,GY-D,6699,6700,0.05,0.1,37.413818638385685,-113.64622458567156,{'i_k': -5.733091235861014}
104199776,T2017,Auto,214,213,0.04,0.06,40.47228171942448,-107.59177212636456,"{'i_s': -3.976671803712882, 'i_c': -12.740897779296406}"
105565109,T2018,GY-D,339,340,0.05,0.1,40.00849948412069,-107.98031651534978,{'i_k': -2.0658692652355066}
1148705144,T2019,Auto,610,609,0.04,0.06,39.94997374266264,-108.33096419809984,"{'i_s': 3.927684605907564, 'i_c': 3.9276845970832994}"
106028129,T2020,GY-D,383,384,0.05,0.1,39.520219902279024,-107.74173990001503,{'i_k': -0.004515105849436954}
105557949,T2021,GY-D,335,336,0.05,0.1,38.438472374057554,-107.95254234244464,{'i_k': -6.591257869668121}
98685654,T2022,GY-D,7307,7308,0.05,0.1,37.18440877988193,-108.01559229846656,{'i_k': 1.1109711793527735}
104762763,T2023,GY-D,283,284,0.05,0.1,36.81686298054185,-108.44213623743704,{'i_k': 0.22867997558404232}
103628426,T2024,Auto,180,179,0.04,0.06,40.6075196176586,-104.81320148170956,"{'i_s': -2.869376211645769, 'i_c': -8.397129011207776}"
93859652,T2025,Auto,6950,6949,0.04,0.06,39.49424079020714,-104.9050336403714,"{'i_s': -2.792545923798606, 'i_c': -68.25004345195951}"
104039671,T2026,Auto,206,205,0.04,0.06,38.211226785372126,-104.57603070005176,"{'i_s': 2.792546134767842, 'i_c': -3.864583674843245}"
104066138,T2027,Auto,208,207,0.04,0.06,38.56090981341705,-104.68972363700196,"{'i_s': -8.813984561885635, 'i_c': -12.817470510484863}"
807001334,T2028,Auto,6342,6341,0.04,0.06,39.68599755645037,-104.02097542247604,"{'i_s': -14.4911284849632, 'i_c': -14.74801817332139}"
168003305,T2029,GY-D,2185,2186,0.05,0.1,42.198595637651735,-121.78388086956554,{'i_k': -2.544851336217508}
13369601,T2030,GY-D,1045,1046,0.05,0.1,42.34633624063535,-122.82299991459293,{'i_k': 1.876252636813287}
